Stock_A,Stock_B,Hedge_Ratio,ADF_Stat,ADF_PValue,Correlation,Half_Life,Spread_Mean,Spread_Std,Valid
ADANIENT.NS,ADANIGREEN.NS,1.3184242772596253,-1.3584652355096694,0.6020186099423648,0.7442838711929505,182.00874328698356,291.92449630729993,720.1886753132499,False
ADANIENT.NS,BPCL.NS,7.3426803682958255,-1.8116163549246707,0.3747099373295615,0.4270341174578795,210.13282963149877,481.52423796454025,975.0799003893345,False
ADANIENT.NS,COALINDIA.NS,5.655240385929672,-1.9810121895806259,0.29496014352871935,0.7006306235534278,161.26300612890006,705.8726705741849,769.4268348327129,False
ADANIENT.NS,GAIL.NS,13.400910884693998,-1.8604952957611331,0.3508673456564977,0.6568749559165622,178.2644534320248,467.5589995867779,813.0733386534209,False
ADANIENT.NS,IOC.NS,16.94757210991284,-1.983023563456552,0.29406592052373615,0.6751763752951542,168.68502035995806,497.3754758195254,795.4496935023204,False
ADANIENT.NS,NTPC.NS,6.774326598075863,-1.9649628130676982,0.3021437476916026,0.6930933106798735,174.79304272202427,665.6665296893713,777.324343940842,False
ADANIENT.NS,ONGC.NS,10.365814246618145,-2.113177999399233,0.23924878424504442,0.7133547819643032,146.60266678835487,406.69928655219746,755.709089596654,False
ADANIENT.NS,POWERGRID.NS,8.96817356066089,-1.9247545928872218,0.32050686243899296,0.708668295983326,164.7333222305077,415.9588826809794,760.8190880945605,False
ADANIENT.NS,RELIANCE.NS,3.819198648007192,-2.4361985630994614,0.13177913474663888,0.8246798634026916,87.42323533330507,-2347.9890566358786,609.9129922482094,False
ADANIENT.NS,TATAPOWER.NS,6.686622809256547,-2.0015982829432204,0.2858727478163868,0.805831265433872,139.28606075624424,445.01212726359716,638.5381930800412,False
ADANIGREEN.NS,BPCL.NS,1.6730032409957614,-2.1991870796966833,0.20654063232479597,0.1723539799051762,177.03988876300673,923.9849757742378,599.6443662825691,False
ADANIGREEN.NS,COALINDIA.NS,1.5123704274071577,-2.1989345812616197,0.20663236963061793,0.3319042442144891,176.5834718747027,925.7861485482347,574.2459211058355,False
ADANIGREEN.NS,GAIL.NS,3.9164234881655644,-2.1407394155724253,0.22845160706679718,0.34005926766314226,185.0125267961462,825.2120487335973,572.4750078497557,False
ADANIGREEN.NS,IOC.NS,5.142195596876291,-2.1318332659509704,0.23190839084945924,0.36288993511963724,178.83121961626662,817.6839997758279,567.2567682428213,False
ADANIGREEN.NS,NTPC.NS,1.7825467329789657,-2.1739976053530436,0.2158177949801725,0.32305992272572503,181.18452592310342,920.5584094901733,576.1120137076668,False
ADANIGREEN.NS,ONGC.NS,3.1479765926713545,-2.213754659272093,0.20129123759241008,0.3837516296974705,176.80104303549805,789.7533159055283,562.1458719365293,False
ADANIGREEN.NS,POWERGRID.NS,2.6133601330148277,-2.1484771567656096,0.22547345242249006,0.3658093861526724,182.41706202370528,811.4322984840039,566.5614393819081,False
ADANIGREEN.NS,RELIANCE.NS,1.6131775819257173,-1.8403697313052525,0.360611313890827,0.6170379906201396,161.27873470741008,-557.1895789138936,479.04908997861486,False
ADANIGREEN.NS,TATAPOWER.NS,2.4609073119155696,-2.0773592722727923,0.25371545418193553,0.5253504739605669,185.43337323337477,704.4328266000906,517.9804966189765,False
BPCL.NS,COALINDIA.NS,0.40757138035820223,-1.363478315388155,0.5996545073408232,0.8682279759370714,141.8224860040218,110.4430602037253,31.116671808896182,False
BPCL.NS,GAIL.NS,1.0931764716639105,-2.4267038147666455,0.13434085059767098,0.9213628781252517,68.79751551973081,79.16004339681864,24.377271712371225,False
BPCL.NS,IOC.NS,1.3248871917448377,-0.9399333484652964,0.774537598010102,0.9075711843368763,151.51024899714898,86.53611521658952,26.333626172896327,False
BPCL.NS,NTPC.NS,0.49757891301032153,-1.7991393276413203,0.3808890771924111,0.8753456810108426,114.03087501434324,105.76927223001402,30.322215280921657,False
BPCL.NS,ONGC.NS,0.7294875164000284,-1.6263578214701346,0.4693977431156985,0.8632012659965367,129.43504062285658,91.50117030704556,31.661939866465733,False
BPCL.NS,POWERGRID.NS,0.6434748358732724,-2.1329977031105276,0.2314546787165659,0.874304304883897,93.04498813283578,90.03861036351697,30.44015423830959,False
BPCL.NS,RELIANCE.NS,0.18520019719932188,-1.7067782383480807,0.4276235519569542,0.6876170498784693,158.01987916189606,-8.268394702824926,45.53519581449334,False
BPCL.NS,TATAPOWER.NS,0.3844311065137561,-1.5680104045037948,0.499640098467229,0.7966138619671678,157.82812789616617,113.60748174687225,37.910074974806996,False
COALINDIA.NS,GAIL.NS,2.46496277754782,-2.7568372992920063,0.06470865166755256,0.9752606575385707,38.92381608454893,-52.69740317504732,29.53268775208465,False
COALINDIA.NS,IOC.NS,3.0430555502932672,-3.0882622096078376,0.02743412050731088,0.9785467569936502,44.18431158278252,-40.83835198590028,27.52430271430955,True
COALINDIA.NS,NTPC.NS,1.2023426279060447,-4.224154217109915,0.0005995397986638253,0.9929234688874204,19.39720508693407,-7.955867569555187,15.865443306336052,True
COALINDIA.NS,ONGC.NS,1.7586219780637773,-3.001721526239797,0.0347339438487615,0.9768696243398124,45.005663398473594,-41.82177808521979,28.567816513574822,True
COALINDIA.NS,POWERGRID.NS,1.5389751875515907,-2.9965469600622083,0.03521813150269045,0.9815955290827486,34.257737875866155,-43.2428573395407,25.51325477576525,True
COALINDIA.NS,RELIANCE.NS,0.4723898494632503,-2.2290729571260717,0.19586333725094263,0.8233332485208122,110.17047340079215,-311.51968016521545,75.82407622339444,False
